Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,Image Url,Female Nudity,Male Nudity,Nudity
14.113.1,False,False,True,193100,,European Sculpture and Decorative Arts,1914,Medal,"The St. Louis Exhibition (Louisiana Purchase Centenary), 1904",French,,,,,3339,Artist, ,Alexis Joseph Depaulis,"French, Paris 1790–1867 Paris", ,"Depaulis, Alexis Joseph",French,1790      ,1867      ,male,http://vocab.getty.edu/page/ulan/500123476,https://www.wikidata.org/wiki/Q2372825,1904,1904,1904,"Bronze, struck",Diameter: 2 in. (5.1 cm),"Gift of W. W. Nisbet, 1914",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/193100,,,"Metropolitan Museum of Art, New York, NY",Men|Women|Trees|Weights and Measures,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300386648,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q10884| ,https://images.metmuseum.org/CRDImages/es/original/27302.jpg,True,True,Female and Male
24.131.2,False,False,True,195145,556,European Sculpture and Decorative Arts,1924,Relief,Young woman holding libation cup,"French, Paris or Sèvres",,,,,3887,Maker, ,César-Isidore-Henry Cros,"French, 1840–1907", ,"Cros, César-Isidore-Henry",French,1840      ,1840      ,male,http://vocab.getty.edu/page/ulan/500022608,https://www.wikidata.org/wiki/Q3132707,1891–1907,1891,1907,Painted terracotta; study for a work in pâte-de-verre,Overall: 12 1/2 × 7 3/4 in. (31.8 × 19.7 cm),"Purchase, Edward C. Moore Jr. Gift, 1924",,,,,France,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/195145,https://www.wikidata.org/wiki/Q116310620,,"Metropolitan Museum of Art, New York, NY",Profiles|Women,http://vocab.getty.edu/page/aat/300123319|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q4382010|https://www.wikidata.org/wiki/Q467,https://images.metmuseum.org/CRDImages/es/original/57897.jpg,True,,Female
29.100.371,False,False,True,196440,814,European Sculpture and Decorative Arts,1929,Statuette group,La Masseuse,French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled perhaps ca. 1895, cast 1920",1890,1920,Bronze,17 × 16 3/8 × 14 in. (43.2 × 41.6 × 35.6 cm),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196440,https://www.wikidata.org/wiki/Q116398317,,"Metropolitan Museum of Art, New York, NY",Human Figures,http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q5937779,https://images.metmuseum.org/CRDImages/es/original/ES4837.jpg|https://images.metmuseum.org/CRDImages/es/original/ES4838.jpg|https://images.metmuseum.org/CRDImages/es/original/ES4839.jpg,True,,Female
29.100.372,False,False,True,196441,814,European Sculpture and Decorative Arts,1929,Statuette,Seated Woman Wiping her Left Hip,French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled possibly ca. 1896, cast 1920",1891,1920,Bronze,17-7/8 x 19-5/8 x 11-3/4 in.  (45.4 x 49.8 x 29.8 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196441,https://www.wikidata.org/wiki/Q116398324,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/ES7549.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_372_img2.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_372_img3.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_372_img4.jpg|https://images.metmuseum.org/CRDImages/es/original/76480.jpg,True,,Female
29.100.376,False,False,True,196445,814,European Sculpture and Decorative Arts,1929,Statuette,Dancer Looking at the Sole of Her Right Foot (First State),French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled probably ca. 1895–1910, cast 1920",1890,1920,Bronze,18-1/4 x 7-3/8 x 8-1/2 in.  (46.4 x 18.7 x 21.6 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196445,https://www.wikidata.org/wiki/Q116398344,,"Metropolitan Museum of Art, New York, NY",Feet|Women|Dancers,http://vocab.getty.edu/page/aat/300310200|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300025653,https://www.wikidata.org/wiki/Q15807|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q5716684,https://images.metmuseum.org/CRDImages/es/original/ES4808.jpg|https://images.metmuseum.org/CRDImages/es/original/ES7484.jpg|https://images.metmuseum.org/CRDImages/es/original/ES7505.jpg|https://images.metmuseum.org/CRDImages/es/original/ES7507.jpg|https://images.metmuseum.org/CRDImages/es/original/ES7508.jpg|https://images.metmuseum.org/CRDImages/es/original/ES7515.jpg|https://images.metmuseum.org/CRDImages/es/original/76637.jpg,True,,Female
29.100.377,False,True,True,196446,814,European Sculpture and Decorative Arts,1929,Statuette,Dancer Looking at the Sole of Her Right Foot (Fourth State),French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled before ca. 1895–1900, cast 1920",1890,1920,Bronze,18-1/4 x 9-5/8 x 6-3/4 in.  (46.4 x 24.4 x 17.1 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196446,https://www.wikidata.org/wiki/Q116398349,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Dancers,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300025653,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q5716684,https://images.metmuseum.org/CRDImages/es/original/DP109824.jpg,True,,Female
29.100.379,False,False,True,196448,814,European Sculpture and Decorative Arts,1929,Statuette,Dancer Looking at the Sole of Her Right Foot (Second State),French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled probably ca. 1895–1910, cast 1920",1890,1920,Bronze,18-7/8 x 9 x 8-1/4 in.  (47.9 x 22.9 x 21.0 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196448,https://www.wikidata.org/wiki/Q116398354,,"Metropolitan Museum of Art, New York, NY",Feet|Women|Dancers,http://vocab.getty.edu/page/aat/300310200|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300025653,https://www.wikidata.org/wiki/Q15807|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q5716684,https://images.metmuseum.org/CRDImages/es/original/76572.jpg,True,,Female
29.100.381,False,False,True,196450,814,European Sculpture and Decorative Arts,1929,Statuette,Dancer Putting on Her Stockings (Second State),French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled possibly ca. 1900, cast 1920",1895,1920,Bronze,17-1/4 x 6-3/4 x 11-1/2 in.  (43.8 x 17.1 x 29.2 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196450,https://www.wikidata.org/wiki/Q116398361,,"Metropolitan Museum of Art, New York, NY",Women|Dressing|Dancers,http://vocab.getty.edu/page/aat/300025943| |http://vocab.getty.edu/page/aat/300025653,https://www.wikidata.org/wiki/Q467| |https://www.wikidata.org/wiki/Q5716684,https://images.metmuseum.org/CRDImages/es/original/ES4810.jpg|https://images.metmuseum.org/CRDImages/es/original/76481.jpg,True,,Female
29.100.382,False,False,True,196451,814,European Sculpture and Decorative Arts,1929,Statuette,Dancer Putting on Her Stocking (Third State),French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled before 1910, cast 1920",1910,1920,Bronze,18-3/8 x 12-1/4 x 7-1/2 in.  (46.7 x 31.1 x 19.1 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196451,https://www.wikidata.org/wiki/Q116398365,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Dancers,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300025653,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q5716684,https://images.metmuseum.org/CRDImages/es/original/ES7514.jpg|https://images.metmuseum.org/CRDImages/es/original/76640.jpg,True,,Female
29.100.384,False,False,True,196453,814,European Sculpture and Decorative Arts,1929,Statuette,Pregnant Woman,French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled probably ca. 1896–1910, cast 1920",1891,1920,Bronze,16-3/4 x 5-3/4 x 5-5/8 in.  (42.5 x 14.6 x 14.3 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196453,https://www.wikidata.org/wiki/Q116398368,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/76482.jpg,True,,Female
29.100.386,False,False,True,196455,,European Sculpture and Decorative Arts,1929,Statuette,Dancer Holding Her Right Foot in Her Right Hand,French,,,,,16182,Artist, ,Edgar Degas,"French, Paris 1834–1917 Paris", ,"Degas, Edgar",French,1834      ,1917      ,male,http://vocab.getty.edu/page/ulan/500115194,https://www.wikidata.org/wiki/Q46373,"modeled probably ca. 1900–1910, cast 1920",1895,1920,Bronze,"wt. confirmed: 20 3/4 × 14 1/2 × 7 3/8 in., 14.3 lb. (52.7 × 36.8 × 18.7 cm, 6.5 kg)","H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Architectural-Stone,,http://www.metmuseum.org/art/collection/search/196455,,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Dancers,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300025653,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q5716684,https://images.metmuseum.org/CRDImages/es/original/76484.jpg,True,,Female
29.100.389,False,False,True,196458,814,European Sculpture and Decorative Arts,1929,Statuette,Woman Taken Unawares,French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled probably ca. 1896, cast 1920",1891,1920,Bronze,16 x 11-1/4 x 7-3/8 in.  (40.6 x 28.6 x 18.7 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196458,https://www.wikidata.org/wiki/Q116398376,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/ES4811.jpg|https://images.metmuseum.org/CRDImages/es/original/ES7573.jpg|https://images.metmuseum.org/CRDImages/es/original/ES7574.jpg|https://images.metmuseum.org/CRDImages/es/original/76416.jpg,True,,Female
29.100.402,False,False,True,196471,814,European Sculpture and Decorative Arts,1929,Statuette,"Dancer at Rest, Hands Behind Her Back, Right Leg Forward",French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled possibly ca. 1895, cast 1920",1890,1920,Bronze,17-1/4 x 10-1/8 x 5-1/16 in.  (43.8 x 25.7 x 12.9 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196471,https://www.wikidata.org/wiki/Q116398428,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Dancers,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300025653,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q5716684,https://images.metmuseum.org/CRDImages/es/original/76682.jpg|https://images.metmuseum.org/CRDImages/es/original/ES7541.jpg,True,,Female
29.100.403,False,False,True,196472,814,European Sculpture and Decorative Arts,1929,Statuette,Dancer Adjusting the Shoulder Strap of Her Bodice,French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled probably ca. 1896, cast 1920",1891,1920,Bronze,Overall: 14 × 6 5/16 × 4 in. (35.6 × 16 × 10.2 cm),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196472,https://www.wikidata.org/wiki/Q116398431,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Dancers,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300025653,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q5716684,https://images.metmuseum.org/CRDImages/es/original/264720_29.100.403.jpg|https://images.metmuseum.org/CRDImages/es/original/264720.jpg|https://images.metmuseum.org/CRDImages/es/original/76702.jpg,True,,Female
29.100.410,False,False,True,196479,814,European Sculpture and Decorative Arts,1929,Statuette,The Bow,French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled probably  ca. 1896–99, cast 1920",1891,1920,Bronze,13-1/4 x 8-1/4 x 7-7/16 in.  (33.7 x 21.0 x 18.9 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196479,https://www.wikidata.org/wiki/Q116398457,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/ES7518.jpg|https://images.metmuseum.org/CRDImages/es/original/76447.jpg,True,,Female
29.100.414,False,False,True,196483,814,European Sculpture and Decorative Arts,1929,Statuette,Woman Seated in Chair Wiping her Left Side,French,,,,,3665016182,Founder|Artist,Cast by| ,A.-A. Hébrard et Cie|Edgar Degas,"Paris|French, Paris 1834–1917 Paris", | ,"A.-A. Hébrard et Cie|Degas, Edgar", |French,          |1834      ,          |1917      ,male,http://vocab.getty.edu/page/ulan/500372636|http://vocab.getty.edu/page/ulan/500115194,|https://www.wikidata.org/wiki/Q46373,"modeled probably ca. 1896–1900, cast 1920",1891,1920,Bronze,14-1/4 x 14-1/4 x 9-3/4 in.  (36.2 x 36.2 x 24.8 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196483,https://www.wikidata.org/wiki/Q116310733,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/ES4816.jpg,True,,Female
29.100.415,False,True,True,196484,814,European Sculpture and Decorative Arts,1929,Statuette,Woman Seated in Armchair Wiping Her Left Armpit,French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled probably ca. 1895, cast 1920",1890,1920,Bronze,12-5/8 x 12-1/2 x 7-3/4 in.  (32.1 x 31.8 x 19.7 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196484,https://www.wikidata.org/wiki/Q116398473,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,https://images.metmuseum.org/CRDImages/es/original/DT11723.jpg|https://images.metmuseum.org/CRDImages/es/original/DT11724.jpg,True,,Female
29.100.418,False,False,True,196487,,European Sculpture and Decorative Arts,1929,Statuette,Dancer Putting on Her Stocking (First State),French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled probably ca. 1896–1912, cast 1920",1891,1920,Bronze,"Overall (Figure only, confirmed): 18 1/8 x 7 3/4 x 8 in., 17.9lb. (46 x 19.7 x 20.3 cm, 8.1421kg);
Overall (As mounted on base): 21 1/2 x 9 3/4 x 11 3/4 in. (54.6 x 24.8 x 29.8 cm)","H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196487,,,"Metropolitan Museum of Art, New York, NY",Women|Dancers,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300025653,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q5716684,https://images.metmuseum.org/CRDImages/es/original/76615.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_418_detail1.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_418_detail3.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_418_detail4.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_418_img1.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_418_img2.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_418_img3.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_418_marks1.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_418_marks2.jpg|https://images.metmuseum.org/CRDImages/es/original/SF29_100_418_marks3.jpg,True,,Female
29.100.438,False,False,True,196507,817,European Sculpture and Decorative Arts,1929,Statuette,Woman Arranging her Hair,French,,,,,1618213665,Artist|Founder, |Cast by,Edgar Degas|A.-A. Hébrard et Cie,"French, Paris 1834–1917 Paris|Paris", | ,"Degas, Edgar|A.-A. Hébrard et Cie",French| ,1834      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500115194|http://vocab.getty.edu/page/ulan/500372636,https://www.wikidata.org/wiki/Q46373|,"modeled probably ca. 1900–1910, cast 1920",1895,1920,Bronze,18-1/4 x 9-3/4 x 6-5/8 in.  (46.4 x 24.8 x 16.8 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196507,https://www.wikidata.org/wiki/Q116398635,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/DP-12863-001.jpg|https://images.metmuseum.org/CRDImages/es/original/DP-12863-002.jpg,True,,Female
52.153,False,False,True,201425,,European Sculpture and Decorative Arts,1952,Statuette,Nude woman,French,,,,,3338,Artist, ,Aimé-Jules Dalou,"French, Paris 1838–1902 Paris", ,"Dalou, Aimé-Jules",French,1838      ,1902      ,male,http://vocab.getty.edu/page/ulan/500115274,https://www.wikidata.org/wiki/Q551648,1899,1899,1899,White marble; base: green marble,22 1/2 × 11 1/2 in. (57.2 × 29.2 cm),"Gift of Mr. and Mrs. Frank Altschul, 1952",,,,,France,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/201425,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/154101.jpg,True,,Female
1984.364.2,False,False,True,207485,556,European Sculpture and Decorative Arts,1984,Statuette,"Dance Movement ""G""","French, Paris",,,,,1623253971,Artist|Founder, |Cast by,Auguste Rodin|Alexis Rudier,"French, Paris 1840–1917 Meudon|French", | ,"Rodin, Auguste|Rudier Alexis",French|French,1840      |          ,1917      |          ,male,http://vocab.getty.edu/page/ulan/500016619|http://vocab.getty.edu/page/ulan/500331542,https://www.wikidata.org/wiki/Q30755|https://www.wikidata.org/wiki/Q56246396,"modeled ca. 1910–11, cast probably before ca. 1950",1905,1955,"Bronze, black marble base",Overall with base): 15 1/2 × 4 1/8 × 3 5/8 in. (39.4 × 10.5 × 9.2 cm); Height (without base): 13 in. (33 cm),"Gift of Iris and B. Gerald Cantor Foundation, 1984",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/207485,https://www.wikidata.org/wiki/Q116308117,,"Metropolitan Museum of Art, New York, NY",Human Figures|Dance,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300417581,https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q11639,https://images.metmuseum.org/CRDImages/es/original/DT7848.jpg|https://images.metmuseum.org/CRDImages/es/original/DT7849.jpg,True,,Female
1984.364.5,False,False,True,207488,,European Sculpture and Decorative Arts,1984,Statuette,Small Torso of Iris,French,,,,,16232,Artist, ,Auguste Rodin,"French, Paris 1840–1917 Meudon", ,"Rodin, Auguste",French,1840      ,1917      ,male,http://vocab.getty.edu/page/ulan/500016619,https://www.wikidata.org/wiki/Q30755,"modeled probably ca. 1906–9, cast ca. 1970",1901,1975,"Bronze, black marble base",Overall (with base): 7 1/2 × 3 5/8 × 2 3/4 in. (19.1 × 9.2 × 7 cm); Height (without base): 6 1/8 in. (15.6 cm),"Gift of Iris and B. Gerald Cantor Foundation, 1984",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/207488,,,"Metropolitan Museum of Art, New York, NY",Goddess,http://vocab.getty.edu/page/aat/300343852,https://www.wikidata.org/wiki/Q205985,https://images.metmuseum.org/CRDImages/es/original/ES2737.jpg|https://images.metmuseum.org/CRDImages/es/original/241974.jpg,True,,Female
